"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"3","3799129","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(4, 4, 1)","0","8.0","Command line profiler metrics","smsp__sass_data_bytes.sum","","n/a"
"4","3799129","python3.11","127.0.0.1","void at::vectorized_elementwise_kernel<4, at::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(32, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"4","3799129","python3.11","127.0.0.1","void at::vectorized_elementwise_kernel<4, at::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(32, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_bytes.sum","Kbyte","131.07"
"4","3799129","python3.11","127.0.0.1","void at::vectorized_elementwise_kernel<4, at::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(32, 1, 1)","0","8.0","Command line profiler metrics","lts__t_bytes.sum","Kbyte","354.46"
"4","3799129","python3.11","127.0.0.1","void at::vectorized_elementwise_kernel<4, at::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(32, 1, 1)","0","8.0","Command line profiler metrics","smsp__sass_data_bytes.sum","","n/a"
"5","3799129","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(1, 4, 1)","0","8.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"5","3799129","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(1, 4, 1)","0","8.0","Command line profiler metrics","l1tex__t_bytes.sum","Kbyte","102.40"
"5","3799129","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(1, 4, 1)","0","8.0","Command line profiler metrics","lts__t_bytes.sum","Kbyte","466.05"
"5","3799129","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(1, 4, 1)","0","8.0","Command line profiler metrics","smsp__sass_data_bytes.sum","","n/a"
"6","3799129","python3.11","127.0.0.1","void at::vectorized_elementwise_kernel<4, at::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(3, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"6","3799129","python3.11","127.0.0.1","void at::vectorized_elementwise_kernel<4, at::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(3, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_bytes.sum","Kbyte","10.24"
"6","3799129","python3.11","127.0.0.1","void at::vectorized_elementwise_kernel<4, at::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(3, 1, 1)","0","8.0","Command line profiler metrics","lts__t_bytes.sum","Kbyte","146.50"
"6","3799129","python3.11","127.0.0.1","void at::vectorized_elementwise_kernel<4, at::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(3, 1, 1)","0","8.0","Command line profiler metrics","smsp__sass_data_bytes.sum","","n/a"
"7","3799129","python3.11","127.0.0.1","void <unnamed>::softmax_warp_forward<float, float, float, 4, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)","1","7","(16, 8, 1)","(8, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"7","3799129","python3.11","127.0.0.1","void <unnamed>::softmax_warp_forward<float, float, float, 4, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)","1","7","(16, 8, 1)","(8, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_bytes.sum","Kbyte","15.62"
"7","3799129","python3.11","127.0.0.1","void <unnamed>::softmax_warp_forward<float, float, float, 4, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)","1","7","(16, 8, 1)","(8, 1, 1)","0","8.0","Command line profiler metrics","lts__t_bytes.sum","Kbyte","211.62"
"7","3799129","python3.11","127.0.0.1","void <unnamed>::softmax_warp_forward<float, float, float, 4, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)","1","7","(16, 8, 1)","(8, 1, 1)","0","8.0","Command line profiler metrics","smsp__sass_data_bytes.sum","","n/a"
