timestamp, power.draw [W]
2025/02/16 16:04:58.925, 63.33 W
2025/02/16 16:04:58.936, 63.33 W
2025/02/16 16:04:58.946, 63.33 W
2025/02/16 16:04:58.956, 63.33 W
2025/02/16 16:04:58.966, 63.33 W
2025/02/16 16:04:58.977, 63.33 W
2025/02/16 16:04:58.987, 63.33 W
2025/02/16 16:04:58.997, 63.33 W
2025/02/16 16:04:59.007, 63.33 W
2025/02/16 16:04:59.017, 63.33 W
2025/02/16 16:04:59.027, 63.33 W
2025/02/16 16:04:59.037, 63.33 W
2025/02/16 16:04:59.047, 63.33 W
2025/02/16 16:04:59.057, 63.33 W
2025/02/16 16:04:59.067, 63.33 W
2025/02/16 16:04:59.077, 63.33 W
2025/02/16 16:04:59.087, 63.33 W
2025/02/16 16:04:59.097, 63.33 W
2025/02/16 16:04:59.107, 63.33 W
2025/02/16 16:04:59.118, 63.33 W
2025/02/16 16:04:59.128, 63.33 W
2025/02/16 16:04:59.138, 63.33 W
2025/02/16 16:04:59.148, 63.33 W
2025/02/16 16:04:59.158, 63.33 W
2025/02/16 16:04:59.168, 63.33 W
2025/02/16 16:04:59.178, 63.33 W
2025/02/16 16:04:59.188, 63.33 W
2025/02/16 16:04:59.198, 63.33 W
2025/02/16 16:04:59.208, 63.33 W
2025/02/16 16:04:59.218, 63.33 W
2025/02/16 16:04:59.228, 63.33 W
2025/02/16 16:04:59.238, 63.33 W
2025/02/16 16:04:59.249, 63.33 W
2025/02/16 16:04:59.259, 63.33 W
2025/02/16 16:04:59.269, 63.33 W
2025/02/16 16:04:59.279, 63.33 W
2025/02/16 16:04:59.289, 63.33 W
2025/02/16 16:04:59.299, 63.33 W
2025/02/16 16:04:59.309, 63.33 W
2025/02/16 16:04:59.319, 63.33 W
2025/02/16 16:04:59.329, 63.33 W
2025/02/16 16:04:59.339, 63.33 W
2025/02/16 16:04:59.349, 63.33 W
2025/02/16 16:04:59.359, 63.33 W
2025/02/16 16:04:59.369, 63.33 W
2025/02/16 16:04:59.380, 63.33 W
2025/02/16 16:04:59.390, 63.33 W
2025/02/16 16:04:59.400, 63.33 W
2025/02/16 16:04:59.410, 63.33 W
2025/02/16 16:04:59.420, 63.33 W
2025/02/16 16:04:59.430, 63.33 W
2025/02/16 16:04:59.440, 63.33 W
2025/02/16 16:04:59.450, 63.33 W
2025/02/16 16:04:59.460, 63.33 W
2025/02/16 16:04:59.470, 63.26 W
2025/02/16 16:04:59.480, 63.26 W
2025/02/16 16:04:59.490, 63.26 W
2025/02/16 16:04:59.500, 63.26 W
2025/02/16 16:04:59.510, 63.26 W
2025/02/16 16:04:59.521, 63.26 W
2025/02/16 16:04:59.531, 63.26 W
2025/02/16 16:04:59.541, 63.26 W
2025/02/16 16:04:59.551, 63.26 W
2025/02/16 16:04:59.561, 63.26 W
2025/02/16 16:04:59.571, 63.33 W
2025/02/16 16:04:59.581, 63.33 W
2025/02/16 16:04:59.591, 63.33 W
2025/02/16 16:04:59.601, 63.33 W
2025/02/16 16:04:59.611, 63.33 W
2025/02/16 16:04:59.621, 63.33 W
2025/02/16 16:04:59.631, 63.33 W
2025/02/16 16:04:59.641, 63.33 W
2025/02/16 16:04:59.651, 63.33 W
2025/02/16 16:04:59.662, 63.33 W
2025/02/16 16:04:59.672, 63.33 W
2025/02/16 16:04:59.682, 63.33 W
2025/02/16 16:04:59.692, 63.33 W
2025/02/16 16:04:59.702, 63.33 W
2025/02/16 16:04:59.712, 63.33 W
2025/02/16 16:04:59.722, 63.33 W
2025/02/16 16:04:59.732, 63.33 W
2025/02/16 16:04:59.742, 63.33 W
2025/02/16 16:04:59.752, 63.33 W
2025/02/16 16:04:59.762, 63.33 W
2025/02/16 16:04:59.772, 63.04 W
2025/02/16 16:04:59.782, 63.04 W
2025/02/16 16:04:59.792, 63.04 W
2025/02/16 16:04:59.803, 63.04 W
2025/02/16 16:04:59.813, 63.04 W
2025/02/16 16:04:59.823, 63.04 W
2025/02/16 16:04:59.833, 63.04 W
2025/02/16 16:04:59.843, 63.04 W
2025/02/16 16:04:59.853, 63.04 W
2025/02/16 16:04:59.863, 63.04 W
2025/02/16 16:04:59.873, 63.04 W
2025/02/16 16:04:59.883, 63.04 W
2025/02/16 16:04:59.893, 63.04 W
2025/02/16 16:04:59.903, 63.04 W
2025/02/16 16:04:59.913, 63.04 W
2025/02/16 16:04:59.923, 63.04 W
2025/02/16 16:04:59.934, 63.04 W
2025/02/16 16:04:59.944, 63.04 W
2025/02/16 16:04:59.954, 63.04 W
2025/02/16 16:04:59.964, 63.04 W
2025/02/16 16:04:59.974, 63.33 W
2025/02/16 16:04:59.984, 63.33 W
2025/02/16 16:04:59.994, 63.33 W
2025/02/16 16:05:00.004, 63.33 W
2025/02/16 16:05:00.014, 63.33 W
2025/02/16 16:05:00.024, 63.33 W
2025/02/16 16:05:00.034, 63.33 W
2025/02/16 16:05:00.044, 63.33 W
2025/02/16 16:05:00.054, 63.33 W
2025/02/16 16:05:00.064, 63.33 W
2025/02/16 16:05:00.075, 63.11 W
2025/02/16 16:05:00.085, 63.11 W
2025/02/16 16:05:00.095, 63.11 W
2025/02/16 16:05:00.105, 63.11 W
2025/02/16 16:05:00.115, 63.11 W
2025/02/16 16:05:00.125, 63.11 W
2025/02/16 16:05:00.135, 63.11 W
2025/02/16 16:05:00.145, 63.11 W
2025/02/16 16:05:00.155, 63.11 W
2025/02/16 16:05:00.165, 63.11 W
2025/02/16 16:05:00.175, 63.33 W
2025/02/16 16:05:00.185, 63.33 W
2025/02/16 16:05:00.195, 63.33 W
2025/02/16 16:05:00.206, 63.33 W
2025/02/16 16:05:00.216, 63.33 W
2025/02/16 16:05:00.226, 63.33 W
2025/02/16 16:05:00.236, 63.33 W
2025/02/16 16:05:00.246, 63.33 W
2025/02/16 16:05:00.256, 63.33 W
2025/02/16 16:05:00.266, 63.33 W
2025/02/16 16:05:00.276, 63.33 W
