timestamp, power.draw [W]
2025/02/16 15:55:58.897, 63.04 W
2025/02/16 15:55:58.908, 63.04 W
2025/02/16 15:55:58.918, 63.04 W
2025/02/16 15:55:58.928, 63.04 W
2025/02/16 15:55:58.938, 63.04 W
2025/02/16 15:55:58.948, 63.04 W
2025/02/16 15:55:58.958, 63.04 W
2025/02/16 15:55:58.969, 63.04 W
2025/02/16 15:55:58.979, 63.04 W
2025/02/16 15:55:58.989, 63.04 W
2025/02/16 15:55:58.999, 63.04 W
2025/02/16 15:55:59.009, 63.04 W
2025/02/16 15:55:59.019, 63.04 W
2025/02/16 15:55:59.029, 63.04 W
2025/02/16 15:55:59.039, 63.04 W
2025/02/16 15:55:59.049, 63.04 W
2025/02/16 15:55:59.059, 63.04 W
2025/02/16 15:55:59.069, 63.04 W
2025/02/16 15:55:59.079, 63.04 W
2025/02/16 15:55:59.089, 63.04 W
2025/02/16 15:55:59.099, 63.04 W
2025/02/16 15:55:59.110, 63.04 W
2025/02/16 15:55:59.120, 63.04 W
2025/02/16 15:55:59.130, 63.04 W
2025/02/16 15:55:59.140, 63.04 W
2025/02/16 15:55:59.150, 63.04 W
2025/02/16 15:55:59.160, 63.04 W
2025/02/16 15:55:59.170, 63.04 W
2025/02/16 15:55:59.180, 63.04 W
2025/02/16 15:55:59.190, 63.04 W
2025/02/16 15:55:59.200, 63.04 W
2025/02/16 15:55:59.210, 63.04 W
2025/02/16 15:55:59.220, 63.04 W
2025/02/16 15:55:59.230, 63.04 W
2025/02/16 15:55:59.240, 63.04 W
2025/02/16 15:55:59.251, 63.04 W
2025/02/16 15:55:59.261, 63.04 W
2025/02/16 15:55:59.271, 63.04 W
2025/02/16 15:55:59.281, 63.04 W
2025/02/16 15:55:59.291, 63.04 W
2025/02/16 15:55:59.301, 63.04 W
2025/02/16 15:55:59.311, 63.04 W
2025/02/16 15:55:59.321, 63.04 W
2025/02/16 15:55:59.331, 63.04 W
2025/02/16 15:55:59.341, 63.04 W
2025/02/16 15:55:59.351, 63.04 W
2025/02/16 15:55:59.361, 63.04 W
2025/02/16 15:55:59.371, 63.04 W
2025/02/16 15:55:59.382, 63.04 W
2025/02/16 15:55:59.392, 63.04 W
2025/02/16 15:55:59.402, 63.04 W
2025/02/16 15:55:59.412, 63.04 W
2025/02/16 15:55:59.422, 63.04 W
2025/02/16 15:55:59.432, 63.04 W
2025/02/16 15:55:59.442, 63.04 W
2025/02/16 15:55:59.452, 63.04 W
2025/02/16 15:55:59.462, 63.04 W
2025/02/16 15:55:59.472, 63.04 W
2025/02/16 15:55:59.482, 63.04 W
2025/02/16 15:55:59.492, 63.04 W
2025/02/16 15:55:59.502, 63.04 W
2025/02/16 15:55:59.512, 63.04 W
2025/02/16 15:55:59.523, 63.04 W
2025/02/16 15:55:59.533, 63.04 W
2025/02/16 15:55:59.543, 63.04 W
2025/02/16 15:55:59.553, 63.04 W
2025/02/16 15:55:59.563, 63.04 W
2025/02/16 15:55:59.573, 63.04 W
2025/02/16 15:55:59.583, 63.04 W
2025/02/16 15:55:59.593, 63.04 W
2025/02/16 15:55:59.603, 63.04 W
2025/02/16 15:55:59.613, 63.04 W
2025/02/16 15:55:59.623, 63.04 W
2025/02/16 15:55:59.633, 63.04 W
2025/02/16 15:55:59.643, 63.04 W
2025/02/16 15:55:59.653, 63.04 W
2025/02/16 15:55:59.664, 63.04 W
2025/02/16 15:55:59.674, 63.04 W
2025/02/16 15:55:59.684, 63.04 W
2025/02/16 15:55:59.694, 63.04 W
2025/02/16 15:55:59.704, 63.04 W
2025/02/16 15:55:59.714, 63.04 W
2025/02/16 15:55:59.724, 63.04 W
2025/02/16 15:55:59.734, 63.04 W
2025/02/16 15:55:59.744, 63.04 W
2025/02/16 15:55:59.754, 63.04 W
2025/02/16 15:55:59.764, 63.04 W
2025/02/16 15:55:59.774, 63.04 W
2025/02/16 15:55:59.784, 63.04 W
2025/02/16 15:55:59.794, 63.04 W
2025/02/16 15:55:59.805, 63.04 W
2025/02/16 15:55:59.815, 63.04 W
2025/02/16 15:55:59.825, 63.04 W
2025/02/16 15:55:59.835, 62.97 W
2025/02/16 15:55:59.845, 62.97 W
2025/02/16 15:55:59.855, 62.97 W
2025/02/16 15:55:59.865, 62.97 W
2025/02/16 15:55:59.875, 62.97 W
2025/02/16 15:55:59.885, 62.97 W
2025/02/16 15:55:59.895, 62.97 W
2025/02/16 15:55:59.905, 62.97 W
2025/02/16 15:55:59.915, 62.97 W
2025/02/16 15:55:59.925, 62.97 W
2025/02/16 15:55:59.935, 62.97 W
2025/02/16 15:55:59.946, 62.97 W
2025/02/16 15:55:59.956, 62.97 W
2025/02/16 15:55:59.966, 62.97 W
2025/02/16 15:55:59.976, 62.97 W
2025/02/16 15:55:59.986, 62.97 W
2025/02/16 15:55:59.996, 62.97 W
2025/02/16 15:56:00.006, 62.97 W
2025/02/16 15:56:00.016, 62.97 W
2025/02/16 15:56:00.026, 62.97 W
2025/02/16 15:56:00.036, 63.04 W
2025/02/16 15:56:00.046, 63.04 W
2025/02/16 15:56:00.056, 63.04 W
2025/02/16 15:56:00.066, 63.04 W
2025/02/16 15:56:00.076, 63.04 W
2025/02/16 15:56:00.086, 63.04 W
2025/02/16 15:56:00.097, 63.04 W
2025/02/16 15:56:00.107, 63.04 W
2025/02/16 15:56:00.117, 63.04 W
2025/02/16 15:56:00.127, 63.04 W
2025/02/16 15:56:00.137, 62.97 W
2025/02/16 15:56:00.147, 62.97 W
2025/02/16 15:56:00.157, 62.97 W
2025/02/16 15:56:00.167, 62.97 W
2025/02/16 15:56:00.177, 62.97 W
2025/02/16 15:56:00.187, 62.97 W
2025/02/16 15:56:00.197, 62.97 W
2025/02/16 15:56:00.207, 62.97 W
2025/02/16 15:56:00.217, 62.97 W
2025/02/16 15:56:00.227, 62.97 W
2025/02/16 15:56:00.238, 63.04 W
