timestamp, power.draw [W]
2025/02/16 16:04:29.767, 63.04 W
2025/02/16 16:04:29.778, 63.33 W
2025/02/16 16:04:29.789, 63.33 W
2025/02/16 16:04:29.799, 63.33 W
2025/02/16 16:04:29.809, 63.33 W
2025/02/16 16:04:29.819, 63.33 W
2025/02/16 16:04:29.829, 63.33 W
2025/02/16 16:04:29.839, 63.33 W
2025/02/16 16:04:29.849, 63.33 W
2025/02/16 16:04:29.859, 63.33 W
2025/02/16 16:04:29.869, 63.33 W
2025/02/16 16:04:29.879, 63.33 W
2025/02/16 16:04:29.889, 63.33 W
2025/02/16 16:04:29.899, 63.33 W
2025/02/16 16:04:29.909, 63.33 W
2025/02/16 16:04:29.919, 63.33 W
2025/02/16 16:04:29.930, 63.33 W
2025/02/16 16:04:29.940, 63.33 W
2025/02/16 16:04:29.950, 63.33 W
2025/02/16 16:04:29.960, 63.33 W
2025/02/16 16:04:29.970, 63.33 W
2025/02/16 16:04:29.980, 63.04 W
2025/02/16 16:04:29.990, 63.04 W
2025/02/16 16:04:30.000, 63.04 W
2025/02/16 16:04:30.010, 63.04 W
2025/02/16 16:04:30.020, 63.04 W
2025/02/16 16:04:30.030, 63.04 W
2025/02/16 16:04:30.040, 63.04 W
2025/02/16 16:04:30.050, 63.04 W
2025/02/16 16:04:30.060, 63.04 W
2025/02/16 16:04:30.071, 63.04 W
2025/02/16 16:04:30.081, 63.19 W
2025/02/16 16:04:30.091, 63.19 W
2025/02/16 16:04:30.101, 63.19 W
2025/02/16 16:04:30.111, 63.19 W
2025/02/16 16:04:30.121, 63.19 W
2025/02/16 16:04:30.131, 63.19 W
2025/02/16 16:04:30.141, 63.19 W
2025/02/16 16:04:30.151, 63.19 W
2025/02/16 16:04:30.161, 63.19 W
2025/02/16 16:04:30.171, 63.19 W
2025/02/16 16:04:30.181, 63.04 W
2025/02/16 16:04:30.191, 63.04 W
2025/02/16 16:04:30.201, 63.04 W
2025/02/16 16:04:30.212, 63.04 W
2025/02/16 16:04:30.222, 63.04 W
2025/02/16 16:04:30.232, 63.04 W
2025/02/16 16:04:30.242, 63.04 W
2025/02/16 16:04:30.252, 63.04 W
2025/02/16 16:04:30.262, 63.04 W
2025/02/16 16:04:30.272, 63.04 W
2025/02/16 16:04:30.282, 63.33 W
2025/02/16 16:04:30.292, 63.33 W
2025/02/16 16:04:30.302, 63.33 W
2025/02/16 16:04:30.312, 63.33 W
2025/02/16 16:04:30.322, 63.33 W
2025/02/16 16:04:30.332, 63.33 W
2025/02/16 16:04:30.342, 63.33 W
2025/02/16 16:04:30.353, 63.33 W
2025/02/16 16:04:30.363, 63.33 W
2025/02/16 16:04:30.373, 63.33 W
2025/02/16 16:04:30.383, 63.04 W
2025/02/16 16:04:30.393, 63.04 W
2025/02/16 16:04:30.403, 63.04 W
2025/02/16 16:04:30.413, 63.04 W
2025/02/16 16:04:30.423, 63.04 W
2025/02/16 16:04:30.433, 63.04 W
2025/02/16 16:04:30.443, 63.04 W
2025/02/16 16:04:30.453, 63.04 W
2025/02/16 16:04:30.463, 63.04 W
2025/02/16 16:04:30.473, 63.04 W
2025/02/16 16:04:30.484, 63.33 W
2025/02/16 16:04:30.494, 63.33 W
2025/02/16 16:04:30.504, 63.33 W
2025/02/16 16:04:30.514, 63.33 W
2025/02/16 16:04:30.524, 63.33 W
2025/02/16 16:04:30.534, 63.33 W
2025/02/16 16:04:30.544, 63.33 W
2025/02/16 16:04:30.554, 63.33 W
2025/02/16 16:04:30.564, 63.33 W
2025/02/16 16:04:30.574, 63.33 W
2025/02/16 16:04:30.584, 63.04 W
2025/02/16 16:04:30.594, 63.04 W
2025/02/16 16:04:30.604, 63.04 W
2025/02/16 16:04:30.614, 63.04 W
2025/02/16 16:04:30.624, 63.04 W
2025/02/16 16:04:30.634, 63.04 W
2025/02/16 16:04:30.645, 63.04 W
2025/02/16 16:04:30.655, 63.04 W
2025/02/16 16:04:30.665, 63.04 W
2025/02/16 16:04:30.675, 63.04 W
2025/02/16 16:04:30.685, 63.33 W
2025/02/16 16:04:30.695, 63.33 W
2025/02/16 16:04:30.705, 63.33 W
2025/02/16 16:04:30.715, 63.33 W
2025/02/16 16:04:30.725, 63.33 W
2025/02/16 16:04:30.735, 63.33 W
2025/02/16 16:04:30.745, 63.33 W
2025/02/16 16:04:30.755, 63.33 W
2025/02/16 16:04:30.765, 63.33 W
2025/02/16 16:04:30.775, 63.33 W
2025/02/16 16:04:30.785, 63.33 W
2025/02/16 16:04:30.796, 63.33 W
2025/02/16 16:04:30.806, 63.33 W
2025/02/16 16:04:30.816, 63.33 W
2025/02/16 16:04:30.826, 63.33 W
2025/02/16 16:04:30.836, 63.33 W
2025/02/16 16:04:30.846, 63.33 W
2025/02/16 16:04:30.856, 63.33 W
2025/02/16 16:04:30.866, 63.33 W
2025/02/16 16:04:30.876, 63.33 W
2025/02/16 16:04:30.886, 63.19 W
2025/02/16 16:04:30.896, 63.19 W
