timestamp, power.draw [W]
2025/02/16 21:27:13.781, 62.82 W
2025/02/16 21:27:13.793, 62.82 W
2025/02/16 21:27:13.803, 62.82 W
2025/02/16 21:27:13.813, 62.82 W
2025/02/16 21:27:13.823, 62.82 W
2025/02/16 21:27:13.833, 62.82 W
2025/02/16 21:27:13.843, 62.82 W
2025/02/16 21:27:13.853, 62.82 W
2025/02/16 21:27:13.863, 62.82 W
2025/02/16 21:27:13.873, 62.82 W
2025/02/16 21:27:13.883, 62.82 W
2025/02/16 21:27:13.894, 62.82 W
2025/02/16 21:27:13.904, 62.82 W
2025/02/16 21:27:13.914, 62.82 W
2025/02/16 21:27:13.924, 62.82 W
2025/02/16 21:27:13.934, 62.82 W
2025/02/16 21:27:13.944, 62.82 W
2025/02/16 21:27:13.954, 62.82 W
2025/02/16 21:27:13.964, 62.82 W
2025/02/16 21:27:13.974, 62.82 W
2025/02/16 21:27:13.984, 62.82 W
2025/02/16 21:27:13.994, 62.82 W
2025/02/16 21:27:14.004, 62.82 W
2025/02/16 21:27:14.014, 62.82 W
2025/02/16 21:27:14.024, 62.82 W
2025/02/16 21:27:14.035, 62.82 W
2025/02/16 21:27:14.045, 62.82 W
2025/02/16 21:27:14.055, 62.82 W
2025/02/16 21:27:14.065, 62.82 W
2025/02/16 21:27:14.075, 62.82 W
2025/02/16 21:27:14.085, 62.82 W
2025/02/16 21:27:14.095, 62.82 W
2025/02/16 21:27:14.105, 62.82 W
2025/02/16 21:27:14.115, 62.82 W
2025/02/16 21:27:14.125, 62.82 W
2025/02/16 21:27:14.135, 62.82 W
2025/02/16 21:27:14.145, 62.82 W
2025/02/16 21:27:14.155, 62.82 W
2025/02/16 21:27:14.166, 62.82 W
2025/02/16 21:27:14.176, 62.82 W
2025/02/16 21:27:14.186, 62.82 W
2025/02/16 21:27:14.196, 62.82 W
2025/02/16 21:27:14.206, 62.53 W
2025/02/16 21:27:14.216, 62.53 W
2025/02/16 21:27:14.226, 62.53 W
2025/02/16 21:27:14.236, 62.53 W
2025/02/16 21:27:14.246, 62.53 W
2025/02/16 21:27:14.256, 62.53 W
2025/02/16 21:27:14.266, 62.53 W
2025/02/16 21:27:14.276, 62.53 W
2025/02/16 21:27:14.286, 62.53 W
2025/02/16 21:27:14.297, 62.82 W
2025/02/16 21:27:14.307, 62.82 W
2025/02/16 21:27:14.317, 62.82 W
2025/02/16 21:27:14.327, 62.82 W
2025/02/16 21:27:14.337, 62.82 W
2025/02/16 21:27:14.347, 62.82 W
2025/02/16 21:27:14.357, 62.82 W
2025/02/16 21:27:14.367, 62.82 W
2025/02/16 21:27:14.377, 62.82 W
2025/02/16 21:27:14.387, 62.82 W
2025/02/16 21:27:14.397, 62.82 W
2025/02/16 21:27:14.407, 62.82 W
2025/02/16 21:27:14.418, 62.53 W
2025/02/16 21:27:14.428, 62.53 W
2025/02/16 21:27:14.438, 62.53 W
2025/02/16 21:27:14.448, 62.53 W
2025/02/16 21:27:14.458, 62.53 W
2025/02/16 21:27:14.468, 62.53 W
2025/02/16 21:27:14.478, 62.53 W
2025/02/16 21:27:14.488, 62.53 W
2025/02/16 21:27:14.498, 62.53 W
2025/02/16 21:27:14.508, 62.53 W
2025/02/16 21:27:14.518, 62.82 W
2025/02/16 21:27:14.528, 62.82 W
2025/02/16 21:27:14.539, 62.82 W
2025/02/16 21:27:14.549, 62.82 W
2025/02/16 21:27:14.559, 62.82 W
2025/02/16 21:27:14.569, 62.82 W
2025/02/16 21:27:14.579, 62.82 W
2025/02/16 21:27:14.589, 62.82 W
2025/02/16 21:27:14.599, 62.82 W
2025/02/16 21:27:14.609, 62.82 W
2025/02/16 21:27:14.619, 62.82 W
2025/02/16 21:27:14.629, 62.82 W
2025/02/16 21:27:14.639, 62.82 W
2025/02/16 21:27:14.649, 62.82 W
2025/02/16 21:27:14.660, 62.82 W
2025/02/16 21:27:14.670, 62.82 W
2025/02/16 21:27:14.680, 62.82 W
2025/02/16 21:27:14.690, 62.82 W
2025/02/16 21:27:14.700, 62.82 W
2025/02/16 21:27:14.710, 62.82 W
2025/02/16 21:27:14.720, 62.82 W
2025/02/16 21:27:14.730, 62.82 W
2025/02/16 21:27:14.740, 62.82 W
2025/02/16 21:27:14.750, 62.82 W
2025/02/16 21:27:14.760, 62.82 W
2025/02/16 21:27:14.770, 62.82 W
2025/02/16 21:27:14.780, 62.82 W
2025/02/16 21:27:14.791, 62.82 W
2025/02/16 21:27:14.801, 62.82 W
2025/02/16 21:27:14.811, 62.82 W
2025/02/16 21:27:14.821, 62.82 W
2025/02/16 21:27:14.831, 62.82 W
2025/02/16 21:27:14.841, 62.82 W
2025/02/16 21:27:14.851, 62.82 W
2025/02/16 21:27:14.861, 62.82 W
2025/02/16 21:27:14.871, 62.82 W
2025/02/16 21:27:14.881, 62.82 W
2025/02/16 21:27:14.891, 62.82 W
2025/02/16 21:27:14.901, 62.82 W
2025/02/16 21:27:14.912, 62.82 W
2025/02/16 21:27:14.922, 62.82 W
2025/02/16 21:27:14.932, 62.82 W
2025/02/16 21:27:14.942, 62.82 W
2025/02/16 21:27:14.952, 62.82 W
2025/02/16 21:27:14.962, 62.82 W
2025/02/16 21:27:14.972, 62.82 W
2025/02/16 21:27:14.982, 62.82 W
2025/02/16 21:27:14.992, 62.82 W
2025/02/16 21:27:15.002, 62.82 W
2025/02/16 21:27:15.012, 62.82 W
2025/02/16 21:27:15.022, 62.82 W
2025/02/16 21:27:15.033, 62.82 W
2025/02/16 21:27:15.043, 62.82 W
2025/02/16 21:27:15.053, 62.82 W
2025/02/16 21:27:15.063, 62.82 W
2025/02/16 21:27:15.073, 62.82 W
2025/02/16 21:27:15.083, 62.82 W
2025/02/16 21:27:15.093, 62.82 W
2025/02/16 21:27:15.103, 62.82 W
2025/02/16 21:27:15.113, 62.82 W
2025/02/16 21:27:15.123, 62.82 W
2025/02/16 21:27:15.133, 62.82 W
2025/02/16 21:27:15.143, 62.82 W
2025/02/16 21:27:15.154, 62.82 W
2025/02/16 21:27:15.164, 62.82 W
2025/02/16 21:27:15.174, 62.82 W
2025/02/16 21:27:15.184, 62.82 W
2025/02/16 21:27:15.194, 62.82 W
2025/02/16 21:27:15.204, 62.82 W
2025/02/16 21:27:15.214, 62.82 W
2025/02/16 21:27:15.224, 62.82 W
2025/02/16 21:27:15.234, 62.82 W
2025/02/16 21:27:15.244, 62.53 W
2025/02/16 21:27:15.254, 62.53 W
2025/02/16 21:27:15.264, 62.53 W
2025/02/16 21:27:15.275, 62.53 W
2025/02/16 21:27:15.285, 62.53 W
2025/02/16 21:27:15.295, 62.53 W
2025/02/16 21:27:15.305, 62.53 W
2025/02/16 21:27:15.315, 62.53 W
2025/02/16 21:27:15.325, 62.53 W
2025/02/16 21:27:15.335, 62.82 W
2025/02/16 21:27:15.345, 62.82 W
2025/02/16 21:27:15.355, 62.82 W
2025/02/16 21:27:15.365, 62.82 W
2025/02/16 21:27:15.375, 62.82 W
2025/02/16 21:27:15.385, 62.82 W
2025/02/16 21:27:15.396, 62.82 W
2025/02/16 21:27:15.406, 62.82 W
2025/02/16 21:27:15.416, 62.82 W
2025/02/16 21:27:15.426, 62.82 W
2025/02/16 21:27:15.436, 62.82 W
2025/02/16 21:27:15.446, 62.82 W
2025/02/16 21:27:15.456, 62.82 W
2025/02/16 21:27:15.466, 62.82 W
2025/02/16 21:27:15.476, 62.82 W
2025/02/16 21:27:15.486, 62.82 W
2025/02/16 21:27:15.496, 62.82 W
